ProjectName,Release,MethodName,LOC,ParameterCount,CycloComplexity,CognitiveComplexity,NestingDepth,Revisions,Authors,TotalChurn,MaxChurn,AvgChurn,NumberOfCodeSmells,Bugginess
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java/operationFailed(Object, PubSubException)",3,2,1,0,0,5,4,54,15,9.50,0,yes
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java/operationFinished(Object, Long)",3,2,1,0,0,5,4,54,15,9.50,0,yes
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java/equals(Object),8,1,4,5,1,2,2,8,4,4.00,0,no
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java/hashCode(),3,0,1,0,0,2,2,8,4,4.00,0,no
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java/toString(),8,0,3,3,1,2,2,8,4,4.00,0,no
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java/getTopic(),3,0,1,0,0,2,2,8,4,4.00,0,no
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java/getSubscriberId(),3,0,1,0,0,2,2,8,4,4.00,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java/connect(),47,0,5,7,1,158,46,10074,512,36.59,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java/operationComplete(ChannelFuture),27,1,3,4,1,158,46,10074,512,36.59,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java/connectIfNeededAndDoOp(GenericCallback),29,1,6,6,2,158,46,10074,512,36.59,0,yes
